date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-01-04,sh.600695,5.0600,5.3600,4.9100,5.3600,5.1000,10418436,53435622.4600,3,2.842900,1,5.098000,1
2022-01-05,sh.600695,5.3300,5.4500,5.1200,5.2000,5.3600,6883446,36262542.7100,3,1.878300,1,-2.985100,1
2022-01-06,sh.600695,5.4500,5.4600,5.3100,5.4600,5.2000,7707628,41724670.5200,3,2.103200,1,5.000000,1
2022-01-07,sh.600695,5.5200,5.7200,5.4700,5.6200,5.4600,10550320,59334165.9400,3,2.878900,1,2.930400,1
2022-01-10,sh.600695,5.5500,5.6400,5.3900,5.4500,5.6200,6320527,34723807.8500,3,1.724700,1,-3.024900,1
2022-01-11,sh.600695,5.3600,5.4400,5.2400,5.2800,5.4500,6098189,32563389.8900,3,1.664000,1,-3.119300,1
2022-01-12,sh.600695,5.2000,5.3600,5.2000,5.2400,5.2800,5321310,28024658.9000,3,1.452100,1,-0.757600,1
2022-01-13,sh.600695,5.2100,5.2400,5.0100,5.0400,5.2400,7742700,39438686.0000,3,2.112800,1,-3.816800,1
2022-01-14,sh.600695,4.9900,5.1000,4.9600,5.0500,5.0400,5637700,28339646.0000,3,1.538400,1,0.198400,1
2022-01-17,sh.600695,5.0500,5.1300,4.9800,5.0900,5.0500,3755900,18985561.0000,3,1.024900,1,0.792100,1
2022-01-18,sh.600695,5.0500,5.1100,4.8400,4.8400,5.0900,8549300,41922975.0000,3,2.332900,1,-4.911600,1
2022-01-19,sh.600695,4.8400,4.9300,4.6000,4.8000,4.8400,5233761,25232342.6800,3,1.428200,1,-0.826400,1
2022-01-20,sh.600695,4.7600,4.8900,4.6900,4.7200,4.8000,4573600,21872136.0000,3,1.248000,1,-1.666700,1
2022-01-21,sh.600695,4.7000,4.9600,4.6500,4.9600,4.7200,7786701,37880201.7800,3,2.124800,1,5.084700,1
2022-01-24,sh.600695,4.9100,4.9900,4.8000,4.8100,4.9600,5568000,27126810.0000,3,1.519400,1,-3.024200,1
2022-01-25,sh.600695,4.8200,5.0500,4.8200,4.9900,4.8100,9498272,47277271.3100,3,2.591800,1,3.742200,1
2022-01-26,sh.600695,4.8500,4.9700,4.7500,4.8800,4.9900,6645635,32107618.5000,3,1.813400,1,-2.204400,1
2022-01-27,sh.600695,4.8800,4.9400,4.6400,4.6400,4.8800,6768300,31641659.0000,3,1.846900,1,-4.918000,1
2022-01-28,sh.600695,4.4100,4.4100,4.4100,4.4100,4.6400,599900,2645559.0000,3,0.163700,1,-4.956900,1
2022-02-07,sh.600695,4.1900,4.1900,4.1900,4.1900,4.4100,497600,2084944.0000,3,0.135800,1,-4.988700,1
2022-02-08,sh.600695,3.9800,3.9800,3.9800,3.9800,4.1900,523400,2083132.0000,3,0.142800,1,-5.011900,1
2022-02-09,sh.600695,3.7800,3.7800,3.7800,3.7800,3.9800,719500,2719710.0000,3,0.196300,1,-5.025100,1
2022-02-10,sh.600695,3.5900,3.5900,3.5900,3.5900,3.7800,1158400,4158656.0000,3,0.316100,1,-5.026500,1
2022-02-11,sh.600695,3.4100,3.4100,3.4100,3.4100,3.5900,1846300,6295883.0000,3,0.503800,1,-5.013900,1
2022-02-14,sh.600695,3.2400,3.2400,3.2400,3.2400,3.4100,410800,1330992.0000,3,0.112100,1,-4.985300,1
2022-02-15,sh.600695,3.0800,3.0800,3.0800,3.0800,3.2400,609700,1877876.0000,3,0.166400,1,-4.938300,1
2022-02-16,sh.600695,2.9300,2.9300,2.9300,2.9300,3.0800,1478200,4331126.0000,3,0.403400,1,-4.870100,1
2022-02-17,sh.600695,2.7800,3.0800,2.7800,3.0800,2.9300,43800667,127500578.2400,3,11.952100,1,5.119500,1
2022-02-18,sh.600695,2.9300,3.2300,2.9300,3.2300,3.0800,43294078,132833148.9900,3,11.813900,1,4.870100,1
2022-02-21,sh.600695,3.2100,3.3100,3.0800,3.1400,3.2300,30752843,97520863.8700,3,8.391700,1,-2.786400,1
2022-02-22,sh.600695,3.0300,3.1400,3.0300,3.0600,3.1400,17891859,54874607.7000,3,4.882300,1,-2.547800,1
2022-02-23,sh.600695,3.0500,3.2100,3.0400,3.2100,3.0600,17462650,55086713.0000,3,4.765100,1,4.902000,1
2022-02-24,sh.600695,3.3000,3.3700,3.2200,3.3700,3.2100,33978300,113246984.0000,3,9.271900,1,4.984400,1
2022-02-25,sh.600695,3.3000,3.5400,3.2900,3.5400,3.3700,27316450,94623762.0000,3,7.454000,1,5.044500,1
2022-02-28,sh.600695,3.6000,3.6200,3.3600,3.3600,3.5400,32751500,113513664.0000,3,8.937100,1,-5.084700,1
2022-03-01,sh.600695,3.3400,3.5300,3.3300,3.5300,3.3600,25583313,89495505.0000,3,6.981100,1,5.059500,1
2022-03-02,sh.600695,3.5300,3.7000,3.4200,3.5700,3.5300,30565312,109298326.0000,3,8.340500,1,1.133100,1
2022-03-03,sh.600695,3.5000,3.5600,3.3900,3.4100,3.5700,27852025,96083230.0000,3,7.600100,1,-4.481800,1
2022-03-04,sh.600695,3.3900,3.5000,3.2400,3.2600,3.4100,23320901,77901216.0000,3,6.363700,1,-4.398800,1
2022-03-07,sh.600695,3.2000,3.2600,3.1000,3.1300,3.2600,19210601,60193717.0000,3,5.242100,1,-3.987700,1
2022-03-08,sh.600695,3.1300,3.2800,3.1300,3.2000,3.1300,19635501,63054662.0000,3,5.358100,1,2.236400,1
2022-03-09,sh.600695,3.2000,3.2600,3.0400,3.0400,3.2000,18031700,55159461.0000,3,4.920400,1,-5.000000,1
2022-03-10,sh.600695,3.1000,3.1000,2.9700,3.0200,3.0400,11912700,36168286.0000,3,3.250700,1,-0.657900,1
2022-03-11,sh.600695,2.9800,3.0100,2.8700,2.9800,3.0200,17148010,49854640.0000,3,4.679300,1,-1.324500,1
2022-03-14,sh.600695,2.8500,2.9600,2.8400,2.8500,2.9800,13764262,39709028.0000,3,3.755900,1,-4.362400,1
2022-03-15,sh.600695,2.8800,2.9800,2.8000,2.8200,2.8500,18498111,53748566.0000,3,5.047700,1,-1.052600,1
2022-03-16,sh.600695,2.8500,2.8800,2.6800,2.7700,2.8200,23934170,65649067.0000,3,6.531100,1,-1.773000,1
2022-03-17,sh.600695,2.7600,2.9100,2.7200,2.9100,2.7700,25466630,72584893.0000,3,6.949200,1,5.054200,1
2022-03-18,sh.600695,2.8800,2.9600,2.8500,2.9300,2.9100,20559270,59956201.9000,3,5.610100,1,0.687300,1
2022-03-21,sh.600695,2.9100,3.0300,2.9000,2.9400,2.9300,12356600,36471162.0000,3,3.371800,1,0.341300,1
2022-03-22,sh.600695,2.9200,2.9400,2.8100,2.8300,2.9400,14496300,41320525.0000,3,3.955700,1,-3.741500,1
2022-03-23,sh.600695,2.7900,2.8000,2.7000,2.7200,2.8300,17184610,47139916.4000,3,4.689300,1,-3.886900,1
2022-03-24,sh.600695,2.7000,2.7800,2.6000,2.6300,2.7200,17077736,45935800.9200,3,4.660100,1,-3.308800,1
2022-03-25,sh.600695,2.5600,2.5800,2.5000,2.5000,2.6300,19195200,48244363.0000,3,5.237900,1,-4.943000,1
2022-03-28,sh.600695,2.3800,2.4100,2.3800,2.3800,2.5000,14884720,35506550.8000,3,4.061700,1,-4.800000,1
2022-03-29,sh.600695,2.3500,2.4800,2.3500,2.4100,2.3800,14188600,34393747.0000,3,3.871700,1,1.260500,1
2022-03-30,sh.600695,2.3500,2.3900,2.2900,2.3000,2.4100,20527721,47197013.0900,3,5.601500,1,-4.564300,1
2022-03-31,sh.600695,2.2000,2.2200,2.1900,2.1900,2.3000,6318400,13867114.0000,3,1.724100,1,-4.782600,1
2022-04-01,sh.600695,2.0800,2.0800,2.0800,2.0800,2.1900,1624400,3378752.0000,3,0.443300,1,-5.022800,1
2022-04-06,sh.600695,1.9800,2.1800,1.9800,2.1800,2.0800,20537713,42932905.9400,3,5.604200,1,4.807700,1
2022-04-07,sh.600695,2.1900,2.2900,2.1800,2.2900,2.1800,6487200,14629778.0000,3,1.770200,1,5.045900,1
2022-04-08,sh.600695,2.3000,2.4000,2.2100,2.4000,2.2900,38759527,91380293.7400,3,10.576500,1,4.803500,1
2022-04-11,sh.600695,2.2800,2.2800,2.2800,2.2800,2.4000,3486300,7948764.0000,3,0.951300,1,-5.000000,1
