date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-01-04,sh.000001,3649.1510,3651.8924,3610.0922,3632.3289,3639.7754,40502776900,510251060624.8000,3,1.040575,1,-0.204587,0
2022-01-05,sh.000001,3628.2634,3628.2634,3583.4668,3595.1761,3632.3289,42390202800,538963631684.2000,3,1.088995,1,-1.022837,0
2022-01-06,sh.000001,3581.2184,3594.4890,3559.8803,3586.0792,3595.1761,37154054300,474284290005.4000,3,0.954461,1,-0.253031,0
2022-01-07,sh.000001,3588.9851,3607.2316,3577.0976,3579.5427,3586.0792,43630696100,502891435426.0000,3,1.120828,1,-0.182274,0
2022-01-10,sh.000001,3572.7434,3593.5187,3555.1255,3593.5187,3579.5427,35622261000,443400848592.4000,3,0.000000,1,0.390441,0
2022-01-11,sh.000001,3589.9043,3602.1454,3562.7541,3567.4409,3593.5187,35976186300,441300566933.6000,3,0.923829,1,-0.725690,0
2022-01-12,sh.000001,3578.1629,3599.4993,3572.0965,3597.4321,3567.4409,34313295600,435817892979.5000,3,0.880593,1,0.840692,0
2022-01-13,sh.000001,3601.0265,3601.0725,3555.1576,3555.2585,3597.4321,36936836500,457005419279.0000,3,0.947903,1,-1.172325,0
2022-01-14,sh.000001,3544.0652,3548.4204,3519.3222,3521.2559,3555.2585,37693702400,463197641865.6000,3,0.967308,1,-0.956403,0
2022-01-17,sh.000001,3522.0851,3546.0853,3519.4257,3541.6660,3521.2559,31288673300,438272981569.4000,3,0.802864,1,0.579626,0
2022-01-18,sh.000001,3541.8899,3579.3126,3531.3295,3569.9144,3541.6660,37714643500,470832038609.3000,3,0.967691,1,0.797602,0
2022-01-19,sh.000001,3567.6309,3578.7348,3541.6619,3558.1796,3569.9144,33323526900,420763364209.5000,3,0.854765,1,-0.328714,0
2022-01-20,sh.000001,3556.2262,3576.2594,3540.5545,3555.0629,3558.1796,37950984600,459701843414.5000,3,0.973418,1,-0.087593,0
