date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2022-01-04,sz.399001,14935.2277,14941.1926,14681.7095,14791.3136,14857.3453,57054686517,756072965835.0500,3,1.853462,1,-0.444438,0
2022-01-05,sz.399001,14752.0826,14767.2230,14469.3692,14525.7588,14791.3136,58383278363,766150488160.2500,3,1.922133,1,-1.795343,0
2022-01-06,sz.399001,14432.4586,14497.7650,14298.4764,14429.5075,14525.7588,51351600672,662400086409.4800,3,1.704167,1,-0.662625,0
2022-01-07,sz.399001,14449.5403,14495.6715,14331.9758,14343.6547,14429.5075,56184984793,704297621699.1400,3,1.885450,1,-0.594981,0
2022-01-10,sz.399001,14304.8596,14430.0941,14194.3505,14406.9731,14343.6547,46312510470,607982063621.0000,3,0.000000,1,0.441438,0
2022-01-11,sz.399001,14402.2173,14433.5582,14201.8988,14223.3506,14406.9731,47547403184,614437722791.2000,3,1.596399,1,-1.274539,0
2022-01-12,sz.399001,14316.5320,14426.1177,14293.4085,14421.1981,14223.3506,46611136480,625336422334.8300,3,1.507868,1,1.391005,0
2022-01-13,sz.399001,14440.9829,14440.9829,14138.3361,14138.3361,14421.1981,49513909388,636529733565.7500,3,1.526055,1,-1.961432,0
2022-01-14,sz.399001,14054.6659,14219.4413,14039.8693,14150.5689,14138.3361,50638226785,643758907340.0100,3,1.589653,1,0.086522,0
2022-01-17,sz.399001,14162.9991,14374.4737,14159.2655,14363.5672,14150.5689,50532197979,681429703705.1800,3,1.581105,1,1.505228,0
2022-01-18,sz.399001,14365.1860,14444.5381,14285.6258,14391.3891,14363.5672,54887020701,725086776428.2100,3,1.660517,1,0.193698,0
2022-01-19,sz.399001,14376.3642,14413.3815,14120.2414,14207.1932,14391.3891,48339852745,644543877629.4600,3,1.559341,1,-1.279904,0
2022-01-20,sz.399001,14188.5090,14311.9963,14149.4995,14198.3023,14207.1932,51711538452,669283759400.5900,3,1.664164,1,-0.062580,0
2022-01-21,sz.399001,14144.2187,14181.6231,13991.6388,14029.5456,14198.3023,43878415247,566667205027.4900,3,1.428981,1,-1.188570,0
2022-01-24,sz.399001,13941.9008,14133.0363,13918.9878,14081.7951,14029.5456,37184418416,506151382690.7500,3,1.193006,1,0.372425,0
