交易日期,交易时间,证券代码,开盘价,最高价,最低价,收盘价,成交量,成交额,复权状态
2022-01-04,20220104093500000,sz.000419,49.8649561000,50.3004579000,49.8649561000,50.1915824500,296100,1362386.0000,后复权
2022-01-04,20220104094000000,sz.000419,50.1915824500,50.5182088000,50.1915824500,50.3004579000,217900,1007653.0000,后复权
2022-01-04,20220104094500000,sz.000419,50.3004579000,50.7359597000,50.3004579000,50.5182088000,310218,1440421.0000,后复权
2022-01-04,20220104095000000,sz.000419,50.5182088000,50.7359597000,50.5182088000,50.6270842500,217900,1013973.0000,后复权
2022-01-04,20220104095500000,sz.000419,50.6270842500,50.9537106000,50.5182088000,50.9537106000,320500,1495317.0000,后复权
2022-01-04,20220104100000000,sz.000419,50.9537106000,50.9537106000,50.6270842500,50.6270842500,108200,504708.0000,后复权
2022-01-04,20220104100500000,sz.000419,50.7359597000,50.8448351500,50.6270842500,50.7359597000,62300,290305.0000,后复权
2022-01-04,20220104101000000,sz.000419,50.7359597000,51.6069633000,50.7359597000,51.6069633000,835592,3930354.0000,后复权
2022-01-04,20220104101500000,sz.000419,51.6069633000,51.6069633000,51.0625860500,51.0625860500,162800,767460.0000,后复权
2022-01-04,20220104102000000,sz.000419,51.0625860500,51.1714615000,50.9537106000,51.0625860500,100600,472097.0000,后复权
2022-01-04,20220104102500000,sz.000419,51.0625860500,51.1714615000,51.0625860500,51.1714615000,93300,437921.0000,后复权
2022-01-04,20220104103000000,sz.000419,51.1714615000,51.2803369500,51.0625860500,51.0625860500,62200,291997.0000,后复权
2022-01-04,20220104103500000,sz.000419,51.1714615000,51.1714615000,51.0625860500,51.1714615000,32500,152619.0000,后复权
2022-01-04,20220104104000000,sz.000419,51.1714615000,51.1714615000,51.0625860500,51.0625860500,159601,749177.0000,后复权
2022-01-04,20220104104500000,sz.000419,51.0625860500,51.1714615000,51.0625860500,51.0625860500,91200,428042.0000,后复权
2022-01-04,20220104105000000,sz.000419,51.0625860500,51.0625860500,50.9537106000,51.0625860500,27300,127945.0000,后复权
2022-01-04,20220104105500000,sz.000419,51.0625860500,51.2803369500,51.0625860500,51.1714615000,89700,421254.0000,后复权
2022-01-04,20220104110000000,sz.000419,51.1714615000,51.1714615000,51.0625860500,51.1714615000,121300,569603.0000,后复权
2022-01-04,20220104110500000,sz.000419,51.0625860500,51.1714615000,50.9537106000,51.0625860500,86500,405698.0000,后复权
2022-01-04,20220104111000000,sz.000419,51.0625860500,51.0625860500,50.9537106000,50.9537106000,36200,169721.0000,后复权
2022-01-04,20220104111500000,sz.000419,50.9537106000,51.0625860500,50.9537106000,51.0625860500,34300,160572.0000,后复权
2022-01-04,20220104112000000,sz.000419,51.0625860500,51.0625860500,50.9537106000,50.9537106000,30700,143718.0000,后复权
2022-01-04,20220104112500000,sz.000419,50.9537106000,51.0625860500,50.8448351500,50.9537106000,61400,287240.0000,后复权
2022-01-04,20220104113000000,sz.000419,50.9537106000,50.9537106000,50.8448351500,50.9537106000,28800,134655.0000,后复权
2022-01-04,20220104130500000,sz.000419,50.9537106000,51.1714615000,50.8448351500,51.1714615000,144540,677049.0000,后复权
2022-01-04,20220104131000000,sz.000419,51.1714615000,51.1714615000,51.0625860500,51.1714615000,38900,182829.0000,后复权
2022-01-04,20220104131500000,sz.000419,51.1714615000,51.2803369500,51.0625860500,51.1714615000,46500,218585.0000,后复权
2022-01-04,20220104132000000,sz.000419,51.2803369500,51.2803369500,51.0625860500,51.1714615000,61800,290536.0000,后复权
2022-01-04,20220104132500000,sz.000419,51.1714615000,51.2803369500,51.1714615000,51.2803369500,109500,515693.0000,后复权
2022-01-04,20220104133000000,sz.000419,51.1714615000,51.2803369500,51.1714615000,51.2803369500,44800,210816.0000,后复权
2022-01-04,20220104133500000,sz.000419,51.1714615000,51.2803369500,51.1714615000,51.2803369500,63500,298852.0000,后复权
2022-01-04,20220104134000000,sz.000419,51.2803369500,51.2803369500,51.1714615000,51.2803369500,59800,281248.0000,后复权
2022-01-04,20220104134500000,sz.000419,51.2803369500,51.2803369500,51.1714615000,51.2803369500,40900,192530.0000,后复权
2022-01-04,20220104135000000,sz.000419,51.2803369500,51.2803369500,51.1714615000,51.2803369500,27400,128937.0000,后复权
2022-01-04,20220104135500000,sz.000419,51.1714615000,51.3892124000,51.1714615000,51.2803369500,153800,724349.0000,后复权
2022-01-04,20220104140000000,sz.000419,51.2803369500,51.2803369500,51.1714615000,51.2803369500,45700,215154.0000,后复权
2022-01-04,20220104140500000,sz.000419,51.2803369500,51.3892124000,51.1714615000,51.2803369500,96180,453369.0000,后复权
2022-01-04,20220104141000000,sz.000419,51.2803369500,51.3892124000,51.1714615000,51.2803369500,50800,239334.0000,后复权
2022-01-04,20220104141500000,sz.000419,51.2803369500,51.2803369500,51.1714615000,51.1714615000,43600,205350.0000,后复权
2022-01-04,20220104142000000,sz.000419,51.1714615000,51.3892124000,51.1714615000,51.2803369500,63700,300015.0000,后复权
2022-01-04,20220104142500000,sz.000419,51.2803369500,51.3892124000,51.2803369500,51.2803369500,49700,234224.0000,后复权
2022-01-04,20220104143000000,sz.000419,51.2803369500,51.3892124000,51.1714615000,51.2803369500,42800,201566.0000,后复权
2022-01-04,20220104143500000,sz.000419,51.2803369500,51.2803369500,51.1714615000,51.1714615000,56000,263430.0000,后复权
2022-01-04,20220104144000000,sz.000419,51.1714615000,51.3892124000,51.1714615000,51.2803369500,113200,533271.0000,后复权
2022-01-04,20220104144500000,sz.000419,51.3892124000,51.3892124000,51.1714615000,51.2803369500,31300,147423.0000,后复权
2022-01-04,20220104145000000,sz.000419,51.2803369500,51.3892124000,51.1714615000,51.2803369500,56800,267611.0000,后复权
2022-01-04,20220104145500000,sz.000419,51.2803369500,51.3892124000,51.1714615000,51.1714615000,62300,293350.0000,后复权
2022-01-04,20220104150000000,sz.000419,51.2803369500,51.2803369500,51.1714615000,51.2803369500,161100,758473.0000,后复权
2022-01-05,20220105093500000,sz.000419,51.3892124000,51.3892124000,50.9537106000,50.9537106000,175700,825331.0000,后复权
2022-01-05,20220105094000000,sz.000419,50.9537106000,51.4980878500,50.8448351500,51.4980878500,227380,1069267.0000,后复权
2022-01-05,20220105094500000,sz.000419,51.4980878500,51.9335896500,51.3892124000,51.8247142000,516700,2452515.0000,后复权
2022-01-05,20220105095000000,sz.000419,51.8247142000,52.0424651000,51.8247142000,51.8247142000,392300,1871831.0000,后复权
2022-01-05,20220105095500000,sz.000419,51.8247142000,51.9335896500,51.7158387500,51.8247142000,169200,805628.0000,后复权
2022-01-05,20220105100000000,sz.000419,51.8247142000,51.8247142000,51.3892124000,51.3892124000,507700,2411944.0000,后复权
2022-01-05,20220105100500000,sz.000419,51.4980878500,51.4980878500,51.3892124000,51.4980878500,70900,335016.0000,后复权
2022-01-05,20220105101000000,sz.000419,51.4980878500,51.7158387500,51.4980878500,51.4980878500,202708,959869.0000,后复权
2022-01-05,20220105101500000,sz.000419,51.4980878500,51.7158387500,51.4980878500,51.4980878500,81600,386233.0000,后复权
2022-01-05,20220105102000000,sz.000419,51.4980878500,51.4980878500,51.3892124000,51.3892124000,196192,926455.0000,后复权
2022-01-05,20220105102500000,sz.000419,51.3892124000,51.4980878500,51.2803369500,51.2803369500,84908,400601.0000,后复权
2022-01-05,20220105103000000,sz.000419,51.2803369500,51.3892124000,50.9537106000,51.0625860500,156200,734291.0000,后复权
2022-01-05,20220105103500000,sz.000419,51.0625860500,51.2803369500,51.0625860500,51.1714615000,238300,1118496.0000,后复权
2022-01-05,20220105104000000,sz.000419,51.1714615000,51.3892124000,51.1714615000,51.3892124000,34100,160569.0000,后复权
2022-01-05,20220105104500000,sz.000419,51.3892124000,51.4980878500,51.2803369500,51.4980878500,102400,483211.0000,后复权
2022-01-05,20220105105000000,sz.000419,51.4980878500,51.4980878500,51.1714615000,51.2803369500,83800,395305.0000,后复权
2022-01-05,20220105105500000,sz.000419,51.2803369500,51.2803369500,51.0625860500,51.2803369500,127100,597347.0000,后复权
2022-01-05,20220105110000000,sz.000419,51.2803369500,51.2803369500,51.1714615000,51.1714615000,12600,59241.0000,后复权
2022-01-05,20220105110500000,sz.000419,51.1714615000,51.1714615000,51.0625860500,51.1714615000,38700,181678.0000,后复权
2022-01-05,20220105111000000,sz.000419,51.1714615000,51.1714615000,50.9537106000,50.9537106000,68200,319562.0000,后复权
2022-01-05,20220105111500000,sz.000419,50.9537106000,50.9537106000,50.9537106000,50.9537106000,29700,138996.0000,后复权
2022-01-05,20220105112000000,sz.000419,50.9537106000,51.0625860500,50.9537106000,51.0625860500,39200,183521.0000,后复权
2022-01-05,20220105112500000,sz.000419,51.0625860500,51.0625860500,50.8448351500,50.9537106000,78700,367944.0000,后复权
2022-01-05,20220105113000000,sz.000419,50.9537106000,51.0625860500,50.8448351500,51.0625860500,47200,220957.0000,后复权
2022-01-05,20220105130500000,sz.000419,51.0625860500,51.0625860500,50.9537106000,50.9537106000,19700,92259.0000,后复权
2022-01-05,20220105131000000,sz.000419,50.9537106000,51.1714615000,50.9537106000,51.1714615000,41300,193708.0000,后复权
2022-01-05,20220105131500000,sz.000419,51.1714615000,51.1714615000,51.0625860500,51.1714615000,28200,132483.0000,后复权
2022-01-05,20220105132000000,sz.000419,51.1714615000,51.1714615000,50.9537106000,51.1714615000,149900,702641.0000,后复权
2022-01-05,20220105132500000,sz.000419,51.1714615000,51.1714615000,51.0625860500,51.0625860500,42600,199926.0000,后复权
2022-01-05,20220105133000000,sz.000419,51.0625860500,51.0625860500,50.9537106000,51.0625860500,36400,170506.0000,后复权
2022-01-05,20220105133500000,sz.000419,51.0625860500,51.0625860500,50.8448351500,50.9537106000,32500,152080.0000,后复权
2022-01-05,20220105134000000,sz.000419,50.9537106000,51.0625860500,50.8448351500,50.9537106000,165700,774191.0000,后复权
2022-01-05,20220105134500000,sz.000419,50.8448351500,50.9537106000,50.8448351500,50.9537106000,26300,123080.0000,后复权
2022-01-05,20220105135000000,sz.000419,50.9537106000,50.9537106000,50.8448351500,50.8448351500,40200,187866.0000,后复权
2022-01-05,20220105135500000,sz.000419,50.8448351500,50.9537106000,50.8448351500,50.8448351500,27000,126149.0000,后复权
2022-01-05,20220105140000000,sz.000419,50.8448351500,50.9537106000,50.7359597000,50.8448351500,45100,210627.0000,后复权
2022-01-05,20220105140500000,sz.000419,50.8448351500,50.9537106000,50.7359597000,50.8448351500,23800,111154.0000,后复权
2022-01-05,20220105141000000,sz.000419,50.8448351500,51.0625860500,50.8448351500,51.0625860500,28200,131967.0000,后复权
2022-01-05,20220105141500000,sz.000419,51.0625860500,51.0625860500,50.9537106000,50.9537106000,2600,12168.0000,后复权
2022-01-05,20220105142000000,sz.000419,50.9537106000,51.0625860500,50.9537106000,51.0625860500,26200,122640.0000,后复权
2022-01-05,20220105142500000,sz.000419,51.0625860500,51.1714615000,50.9537106000,50.9537106000,41900,196472.0000,后复权
