date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-01-04,sz.000410,24.4681030000,24.5327764000,23.9938314000,24.0369470000,24.4034296000,5889451,65929899.3400,1,1.099510,1,-1.501800,-150.611981,1.008344,48.598707,4.946094,0
2010-01-05,sz.000410,24.0585048000,24.3171984000,23.2608662000,24.2740828000,24.0369470000,8927870,98448815.6500,1,1.666756,1,0.986500,-152.097840,1.018291,49.078156,4.994890,0
2010-01-06,sz.000410,24.1231782000,25.2010682000,23.8213690000,24.5758920000,24.2740828000,14218856,162208490.6600,1,2.654537,1,1.243300,-153.988932,1.030952,49.688364,5.056993,0
2010-01-07,sz.000410,24.2740828000,24.5758920000,23.7135800000,23.7998112000,24.5758920000,7750369,86497970.3300,1,1.446927,1,-3.157900,-149.126123,0.998396,48.119258,4.897298,0
2010-01-08,sz.000410,23.8429268000,24.2525250000,23.4548864000,24.1447360000,23.7998112000,6183875,68541477.7700,1,1.153810,1,1.449300,-151.287372,1.012865,48.816639,4.968274,0
2010-01-11,sz.000410,24.4681030000,24.5327764000,23.7998112000,24.1016204000,24.1447360000,5729981,64051148.9900,1,1.069121,1,-0.178600,-151.017216,1.011057,48.729466,4.959402,0
2010-01-12,sz.000410,24.1447360000,24.5758920000,23.5411176000,24.4896608000,24.1016204000,10957308,122462378.9000,1,2.044454,1,1.610000,-153.448620,1.027335,49.514019,5.039249,0
2010-01-13,sz.000410,23.8213690000,24.3171984000,23.7566956000,23.8429268000,24.4896608000,7552665,84080468.0000,1,1.409204,1,-2.640800,-149.396279,1.000204,48.206431,4.906170,0
2010-01-14,sz.000410,23.7135800000,24.4465452000,23.7135800000,24.3387562000,23.8429268000,9539002,107208880.2600,1,1.779821,1,2.079600,-152.503074,1.021004,49.208915,5.008197,0
2010-01-15,sz.000410,24.3387562000,26.1927270000,24.3387562000,25.7615710000,24.3387562000,24900051,295084174.1500,1,4.645941,1,5.845900,-161.418222,1.080691,52.085610,5.300971,0
2010-01-18,sz.000410,25.7831288000,26.0633802000,25.3304150000,25.9340334000,25.7615710000,14870456,177448354.2200,1,2.774583,1,0.669500,-162.498846,1.087926,52.434300,5.336458,0
2010-01-19,sz.000410,25.9771490000,26.3651894000,25.6106664000,25.8262444000,25.9340334000,11136338,133981265.1600,1,2.077858,1,-0.415600,-161.823456,1.083404,52.216369,5.314279,0
2010-01-20,sz.000410,25.8262444000,26.0849380000,24.6621232000,24.6621232000,25.8262444000,11216957,131610291.6600,1,2.092900,1,-4.507500,-154.529244,1.034569,49.862709,5.074737,0
2010-01-21,sz.000410,24.7483544000,25.0070480000,23.8644846000,24.1662938000,24.6621232000,6921482,77906024.5600,1,1.291435,1,-2.010500,-151.422450,1.013770,48.860225,4.972710,0
2010-01-22,sz.000410,24.1878516000,24.1878516000,22.2045340000,23.1961928000,24.1662938000,9756294,105055351.1000,1,1.820365,1,-4.014300,-145.343939,0.973074,46.898842,4.773092,0
2010-01-25,sz.000410,22.9159414000,23.4548864000,22.6788056000,23.0021726000,23.1961928000,3978925,42588415.9400,1,0.742402,1,-0.836400,-144.128237,0.964935,46.506566,4.733168,0
2010-01-26,sz.000410,22.9374992000,23.3039818000,21.9027248000,22.0751872000,23.0021726000,5294673,55342443.0000,1,0.987899,1,-4.030000,-138.319883,0.926048,44.632355,4.542422,0
