交易日期,证券代码,开盘价,最高价,最低价,收盘价,昨收价,成交量,成交额,复权状态,换手率,交易状态,涨跌幅,滚动市盈率,滚动市销率,滚动市现率,市净率,是否ST
2010-01-04,sz.000420,13.4307642600,13.5751810800,13.3344863800,13.4548337300,13.5751810800,8815311,49209957.3900,后复权,2.802839,正常交易,-0.886500,-9.052285,1.250401,13.306265,2.512125,否
2010-01-05,sz.000420,13.3826253200,13.4789032000,13.0937916800,13.3585558500,13.4548337300,7517003,41485735.0500,后复权,2.390041,正常交易,-0.715600,-8.987510,1.241454,13.211050,2.494149,否
2010-01-06,sz.000420,13.3585558500,13.6233200200,13.2622779700,13.4066947900,13.3585558500,8112571,45511845.8200,后复权,2.579402,正常交易,0.360400,-9.019897,1.245927,13.258658,2.503137,否
2010-01-07,sz.000420,13.4066947900,13.8399452500,13.2622779700,13.5029726700,13.4066947900,15040633,84888729.4100,后复权,4.782188,正常交易,0.718100,-9.084672,1.254875,13.353873,2.521112,否
2010-01-08,sz.000420,13.5270421400,14.0806399500,13.3104169100,14.0565704800,13.5029726700,20835298,119559199.8800,后复权,6.624609,正常交易,4.099800,-9.457128,1.306322,13.901358,2.624474,否
2010-01-11,sz.000420,14.1047094200,14.1769178300,13.7918063100,14.0806399500,14.0565704800,14007563,81482221.4900,后复权,4.453722,正常交易,0.171200,-9.473321,1.308559,13.925161,2.628968,否
2010-01-12,sz.000420,14.0806399500,14.3454041200,13.7918063100,14.3213346500,14.0806399500,16474554,96507794.5600,后复权,5.238105,正常交易,1.709400,-9.635258,1.330928,14.163198,2.673907,否
2010-01-13,sz.000420,13.9602926000,15.3803913300,13.8640147200,15.1637661000,14.3213346500,58226609,356781533.1400,后复权,18.513224,正常交易,5.882400,-10.202038,1.409218,14.996328,2.831196,否
2010-01-14,sz.000420,15.0915576900,15.1637661000,14.7064461700,14.9471408700,15.1637661000,25889503,160496622.1000,后复权,8.231600,正常交易,-1.428600,-10.056295,1.389086,14.782094,2.790750,否
2010-01-15,sz.000420,14.8990019300,15.2119050400,14.4898209400,14.6583072300,14.9471408700,19790126,121810827.2800,后复权,6.292296,正常交易,-1.932400,-9.861970,1.362244,14.496450,2.736823,否
2010-01-18,sz.000420,14.7064461700,14.8267935200,14.4657514700,14.7545851100,14.6583072300,12981192,79232499.6600,后复权,4.127386,正常交易,0.656800,-9.926745,1.371191,14.591665,2.754799,否
2010-01-19,sz.000420,14.7305156400,15.1156271600,14.5379598800,15.0915576900,14.7545851100,18018080,110928399.5700,后复权,5.728871,正常交易,2.283800,-10.153457,1.402507,14.924917,2.817714,否
2010-01-20,sz.000420,15.1637661000,15.1878355700,14.2009873000,14.4657514700,15.0915576900,19097807,117400438.5800,后复权,6.072172,正常交易,-4.146700,-9.732421,1.344349,14.306020,2.700871,否
2010-01-21,sz.000420,14.3213346500,14.6101682900,14.1528483600,14.2491262400,14.4657514700,9670308,57631078.2200,后复权,3.074687,正常交易,-1.497500,-9.586677,1.324217,14.091787,2.660425,否
2010-01-22,sz.000420,14.1047094200,14.4416820000,13.7436673700,14.2009873000,14.2491262400,10503239,61830819.2400,后复权,3.339518,正常交易,-0.337800,-9.554290,1.319744,14.044180,2.651437,否
2010-01-25,sz.000420,14.0806399500,14.3213346500,13.7436673700,13.7918063100,14.2009873000,6552353,38156224.5400,后复权,2.083329,正常交易,-2.881400,-9.278997,1.281717,13.639517,2.575040,否
2010-01-26,sz.000420,13.7918063100,13.8880841900,12.8290275100,13.0937916800,13.7918063100,9322990,51441853.7100,后复权,2.964257,正常交易,-5.061100,-8.809379,1.216848,12.949210,2.444715,否
2010-01-27,sz.000420,13.0937916800,13.3344863800,12.9253053900,13.0215832700,13.0937916800,5714373,31216914.8700,后复权,1.816892,正常交易,-0.551500,-8.760798,1.210138,12.877799,2.431233,否
2010-01-28,sz.000420,13.0215832700,13.3344863800,12.9012359200,13.1660000900,13.0215832700,3738507,20420319.4300,后复权,1.188663,正常交易,1.109100,-8.857960,1.223559,13.020621,2.458197,否
2010-01-29,sz.000420,13.2382085000,13.4789032000,13.0697222100,13.2622779700,13.1660000900,5344260,29468389.2400,后复权,1.699214,正常交易,0.731300,-8.922735,1.232506,13.115836,2.476173,否
2010-02-01,sz.000420,13.1660000900,13.3344863800,12.7568191000,12.9975138000,13.2622779700,4831281,26086465.4600,后复权,1.536112,正常交易,-1.996400,-8.744604,1.207901,12.853995,2.426739,否
2010-02-02,sz.000420,13.1178611500,13.4066947900,13.0697222100,13.2622779700,12.9975138000,6510677,35726231.7500,后复权,2.070078,正常交易,2.037000,-8.922735,1.232506,13.115836,2.476173,否
2010-02-03,sz.000420,13.2141390300,13.7918063100,13.1660000900,13.7436673700,13.2622779700,9817819,55184923.3500,后复权,3.121588,正常交易,3.629800,-9.246609,1.277243,13.591910,2.566052,否
2010-02-04,sz.000420,13.7677368400,13.9121536600,13.5511116100,13.7195979000,13.7436673700,7173764,40875420.6800,后复权,2.280907,正常交易,-0.175100,-9.230416,1.275007,13.568106,2.561558,否
2010-02-05,sz.000420,13.3585558500,14.1769178300,13.3104169100,13.9121536600,13.7195979000,9868998,56720651.3900,后复权,3.137860,正常交易,1.403500,-9.359965,1.292901,13.758535,2.597510,否
2010-02-08,sz.000420,13.8158757800,14.5379598800,13.7436673700,14.4898209400,13.9121536600,13934529,82787752.6400,后复权,4.430501,正常交易,4.152200,-9.748614,1.346586,14.329824,2.705365,否
2010-02-09,sz.000420,14.3454041200,14.6342377600,14.1769178300,14.3454041200,14.4898209400,7496437,44720355.7500,后复权,2.383502,正常交易,-0.996700,-9.651452,1.333165,14.187002,2.678401,否
2010-02-10,sz.000420,14.3454041200,14.5138904100,14.1769178300,14.4176125300,14.3454041200,5590965,33319736.7000,后复权,1.777654,正常交易,0.503400,-9.700033,1.339875,14.258413,2.691883,否
2010-02-11,sz.000420,14.4176125300,14.4898209400,13.8399452500,13.8640147200,14.4176125300,7336418,42964580.6400,后复权,2.332623,正常交易,-3.839700,-9.327578,1.288428,13.710928,2.588522,否
