交易日期,交易时间,证券代码,开盘价,最高价,最低价,收盘价,成交量,成交额,复权状态
2022-01-04,20220104093500000,sz.000409,14.1357942000,14.7354945600,14.0501227200,14.0501227200,3961300,26396525.0000,后复权
2022-01-04,20220104094000000,sz.000409,14.0287048500,14.0929584600,13.9430333700,13.9858691100,1429700,9347994.0000,后复权
2022-01-04,20220104094500000,sz.000409,13.9644512400,14.2000478100,13.9644512400,14.1572120700,778619,5115125.0000,后复权
2022-01-04,20220104095000000,sz.000409,14.1572120700,14.2000478100,14.0715405900,14.0929584600,615700,4062800.0000,后复权
2022-01-04,20220104095500000,sz.000409,14.0929584600,14.1357942000,14.0501227200,14.1143763300,413600,2724399.0000,后复权
2022-01-04,20220104100000000,sz.000409,14.1143763300,14.2643014200,14.0929584600,14.1357942000,916500,6066967.0000,后复权
2022-01-04,20220104100500000,sz.000409,14.1357942000,14.3071371600,14.1357942000,14.3071371600,575503,3831980.0000,后复权
2022-01-04,20220104101000000,sz.000409,14.3071371600,14.3928086400,14.2428835500,14.2857192900,689700,4610465.0000,后复权
2022-01-04,20220104101500000,sz.000409,14.2857192900,14.3071371600,14.1143763300,14.1572120700,619900,4105856.0000,后复权
2022-01-04,20220104102000000,sz.000409,14.1572120700,14.2214656800,14.1357942000,14.1786299400,176400,1167372.0000,后复权
2022-01-04,20220104102500000,sz.000409,14.1786299400,14.2214656800,14.1572120700,14.2214656800,280300,1856820.0000,后复权
2022-01-04,20220104103000000,sz.000409,14.2214656800,14.3713907700,14.1786299400,14.3285550300,588739,3933558.0000,后复权
2022-01-04,20220104103500000,sz.000409,14.3071371600,14.3499729000,14.2643014200,14.3071371600,211500,1412543.0000,后复权
2022-01-04,20220104104000000,sz.000409,14.3071371600,14.3285550300,14.2214656800,14.2214656800,199400,1326971.0000,后复权
2022-01-04,20220104104500000,sz.000409,14.2643014200,14.3285550300,14.2643014200,14.2857192900,204411,1363097.0000,后复权
2022-01-04,20220104105000000,sz.000409,14.3071371600,14.3071371600,14.2643014200,14.3071371600,166889,1113345.0000,后复权
2022-01-04,20220104105500000,sz.000409,14.3071371600,14.3713907700,14.2857192900,14.3713907700,401417,2683461.0000,后复权
2022-01-04,20220104110000000,sz.000409,14.3713907700,14.4142265100,14.3071371600,14.3499729000,367500,2465115.0000,后复权
2022-01-04,20220104110500000,sz.000409,14.3285550300,14.3285550300,14.2428835500,14.2428835500,354683,2366047.0000,后复权
2022-01-04,20220104111000000,sz.000409,14.2428835500,14.2643014200,14.2214656800,14.2428835500,189700,1261429.0000,后复权
2022-01-04,20220104111500000,sz.000409,14.2428835500,14.2643014200,14.1786299400,14.2214656800,240400,1596729.0000,后复权
2022-01-04,20220104112000000,sz.000409,14.2214656800,14.2428835500,14.2000478100,14.2214656800,141200,936987.0000,后复权
2022-01-04,20220104112500000,sz.000409,14.2214656800,14.2857192900,14.2214656800,14.2857192900,66700,443417.0000,后复权
2022-01-04,20220104113000000,sz.000409,14.2643014200,14.3071371600,14.2428835500,14.2857192900,244500,1629479.0000,后复权
