date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-01-04,sz.000430,21.8034255000,21.8648436000,21.3427897500,21.4963350000,21.7112983500,1690472,11912386.8600,1,1.525952,1,-0.990100,-39.121692,16.900639,41.160529,-30.452982,1
2010-01-05,sz.000430,21.4963350000,21.5577531000,21.2199535500,21.4349169000,21.4963350000,1572844,10947557.0300,1,1.419772,1,-0.285700,-39.009916,16.852351,41.042928,-30.365974,1
2010-01-06,sz.000430,21.4349169000,21.8034255000,21.2506626000,21.4963350000,21.4349169000,1985052,13922285.5000,1,1.791863,1,0.286500,-39.121692,16.900639,41.160529,-30.452982,1
2010-01-07,sz.000430,21.4963350000,21.4963350000,20.6978997000,20.7900268500,21.4963350000,1903978,13107749.6400,1,1.718679,1,-3.285700,-37.836265,16.345332,39.808112,-29.452384,1
2010-01-08,sz.000430,20.7900268500,20.9742811500,20.6364816000,20.9128630500,20.7900268500,1248124,8455351.5700,1,1.126654,1,0.590800,-38.059817,16.441907,40.043315,-29.626401,1
2010-01-11,sz.000430,21.4656259500,21.5884621500,20.8821540000,20.9742811500,20.9128630500,2469604,16943751.5200,1,2.229257,1,0.293700,-38.171594,16.490195,40.160917,-29.713410,1
2010-01-12,sz.000430,20.9128630500,21.2506626000,20.5750635000,21.1278264000,20.9742811500,1825939,12481354.2600,1,1.648235,1,0.732100,-38.451034,16.610914,40.454920,-29.930931,1
2010-01-13,sz.000430,20.7900268500,21.8648436000,20.7286087500,21.2199535500,21.1278264000,3717370,25807071.1800,1,3.355588,1,0.436000,-38.618699,16.683345,40.631323,-30.061444,1
2010-01-14,sz.000430,21.2199535500,21.6191712000,21.1278264000,21.4963350000,21.2199535500,3898954,27082077.7800,1,3.519500,1,1.302500,-39.121692,16.900639,41.160529,-30.452982,1
2010-01-15,sz.000430,21.4963350000,21.7727164500,21.4042078500,21.5884621500,21.4963350000,3573545,25058379.8300,1,3.225761,1,0.428600,-39.289356,16.973070,41.336932,-30.583495,1
2010-01-18,sz.000430,21.5884621500,21.9262617000,21.5884621500,21.9262617000,21.5884621500,9036791,63947683.1700,1,8.157313,1,1.564700,-39.904126,17.238652,41.983740,-31.062042,1
