交易日期,证券代码,开盘价,最高价,最低价,收盘价,昨收价,成交量,成交额,复权状态,换手率,交易状态,涨跌幅,滚动市盈率,滚动市销率,滚动市现率,市净率,是否ST
2010-01-04,sz.000417,107.2596525000,108.2811730000,102.8817075000,104.1950910000,107.0407552500,7964791,114499107.6700,后复权,1.669248,正常交易,-2.658500,38.241767,1.222905,43.636142,7.227547,否
2010-01-05,sz.000417,103.9761937500,104.3410225000,99.8901117500,102.5168787500,104.1950910000,8872761,123492020.3000,后复权,1.859539,正常交易,-1.610600,37.625828,1.203209,42.933319,7.111137,否
2010-01-06,sz.000417,102.0790842500,102.0790842500,98.5037625000,99.7441802500,102.5168787500,10438128,142477233.1200,后复权,2.187606,正常交易,-2.704600,36.608190,1.170666,41.772133,6.918807,否
2010-01-07,sz.000417,99.8901117500,100.1090090000,97.4822420000,97.8470707500,99.7441802500,7019645,94577002.7200,后复权,1.471166,正常交易,-1.902000,35.911911,1.148400,40.977637,6.787213,否
2010-01-08,sz.000417,97.1174132500,99.5252830000,97.1174132500,98.5037625000,97.8470707500,7151199,96308474.5500,后复权,1.498737,正常交易,0.671100,36.152931,1.156108,41.252655,6.832765,否
2010-01-11,sz.000417,98.5037625000,99.9630775000,96.9714817500,99.9630775000,98.5037625000,7830382,105892686.9200,后复权,1.641079,正常交易,1.481500,36.688530,1.173235,41.863805,6.933991,否
2010-01-12,sz.000417,99.8901117500,102.5168787500,99.8901117500,102.5168787500,99.9630775000,5428047,75325095.5100,后复权,1.137601,正常交易,2.554700,37.625828,1.203209,42.933319,7.111137,否
2010-01-13,sz.000417,100.7657007500,104.4139882500,100.3279062500,103.6113650000,102.5168787500,8027846,113422699.9400,后复权,1.682463,正常交易,1.067600,38.027527,1.216054,43.391682,7.187056,否
2010-01-14,sz.000417,103.4654335000,107.9163442500,102.0061185000,107.5515155000,103.6113650000,8458807,122387664.9600,后复权,1.772783,正常交易,3.802800,39.473645,1.262299,45.041788,7.460367,否
2010-01-15,sz.000417,107.4055840000,108.9378647500,105.4355087500,108.2082072500,107.5515155000,6495661,95545638.6100,后复权,1.361350,正常交易,0.610600,39.714664,1.270006,45.316805,7.505919,否
2010-01-18,sz.000417,107.9893100000,114.3373302500,107.2596525000,112.7320837500,108.2082072500,9374277,143789848.0300,后复权,1.964646,正常交易,4.180700,41.375021,1.323101,47.211372,7.819720,否
2010-01-19,sz.000417,113.0969125000,119.5908642500,111.6375975000,117.3289260000,112.7320837500,11574887,184107611.7100,后复权,2.425846,正常交易,4.077700,43.062158,1.377053,49.136496,8.138582,否
2010-01-20,sz.000417,116.7452000000,116.7452000000,108.6460017500,109.4486250000,117.3289260000,8411245,130953091.6700,后复权,1.762815,正常交易,-6.716400,40.169923,1.284564,45.836283,7.591961,否
2010-01-21,sz.000417,110.0323510000,111.4916660000,106.9677895000,109.9593852500,109.4486250000,5042889,75756887.5700,后复权,1.056880,正常交易,0.466700,40.357383,1.290559,46.050186,7.627390,否
2010-01-22,sz.000417,108.7189675000,110.7620085000,103.6113650000,105.0706800000,109.9593852500,5933340,87056954.4800,后复权,1.243500,正常交易,-4.445900,38.563126,1.233182,44.002832,7.288283,否
2010-01-25,sz.000417,105.0706800000,105.0706800000,105.0706800000,105.0706800000,105.0706800000,0,0.0000,后复权,,停牌,0.000000,38.563126,1.233182,44.002832,7.288283,否
2010-01-26,sz.000417,104.6328855000,107.2596525000,102.3709472500,103.6843307500,105.0706800000,6372386,91552996.9800,后复权,1.335514,正常交易,-1.319400,38.054307,1.216911,43.422239,7.192118,否
2010-01-27,sz.000417,103.5383992500,105.0706800000,101.4953582500,101.4953582500,103.6843307500,3869875,54439094.8400,后复权,0.811042,正常交易,-2.111200,37.250909,1.191219,42.505513,7.040279,否
2010-01-28,sz.000417,101.2034952500,105.7273717500,100.5468035000,105.7273717500,101.4953582500,6238108,88093359.2600,后复权,1.307372,正常交易,4.169700,38.804146,1.240889,44.277850,7.333834,否
2010-01-29,sz.000417,105.8733032500,109.0837962500,104.6328855000,108.7189675000,105.7273717500,5299890,78077491.2600,后复权,1.110742,正常交易,2.829500,39.902124,1.276001,45.530708,7.541348,否
2010-02-01,sz.000417,109.4486250000,112.3672550000,106.6029607500,111.0538715000,108.7189675000,6359944,95505851.5300,后复权,1.332907,正常交易,2.147700,40.759082,1.303405,46.508549,7.703310,否
2010-02-02,sz.000417,110.9079400000,113.4617412500,107.1137210000,108.1352415000,111.0538715000,5518213,84205448.5700,后复权,1.156498,正常交易,-2.628100,39.687884,1.269150,45.286248,7.500858,否
2010-02-03,sz.000417,107.6974470000,110.5431112500,103.0276390000,108.4271045000,108.1352415000,4757845,69805856.2100,后复权,0.997141,正常交易,0.269900,39.795004,1.272575,45.408478,7.521103,否
2010-02-04,sz.000417,107.7704127500,112.3672550000,106.9677895000,110.9809057500,108.4271045000,6151454,92946834.6300,后复权,1.289212,正常交易,2.355300,40.732302,1.302548,46.477991,7.698248,否
2010-02-05,sz.000417,109.2297277500,114.1184330000,108.1352415000,113.0969125000,110.9809057500,8078358,124174007.1100,后复权,1.693049,正常交易,1.906600,41.508921,1.327383,47.364159,7.845026,否
2010-02-08,sz.000417,113.0239467500,116.0885082500,110.6160770000,113.0969125000,113.0969125000,6556945,102328876.5000,后复权,1.374194,正常交易,0.000000,41.508921,1.327383,47.364159,7.845026,否
